category,keyword,headline,body,press,url,crawled_at
복지지원사업,장애인 복지 서울,‘서울온’ 앱 깔면 복지카드 없이 서울대공원 등 이용료 할인된다,"서비스 대상은 장애인, 국가유공자, 한부모가족, 기초생활수급자, 차상위계층, 65세 이상 어르신 등 6개 복지대상이다. 이번 서비스 도입으로 서울 시민 3명 가운데 1명가량이 서울온을 통해 복지 대상 자격을 확인하고 공공시설 이용료를 감면받을 수 있다. 이용자는 자격 확인을 마치면 90일 동안 온 모바일...",헤럴드경제,https://n.news.naver.com/mnews/article/016/0002674858?sid=102,2026-07-27 16:51:16
복지지원사업,장애인 복지 서울,정신장애인 미술치료 전시 ‘딜루젼의 미술’ 개최,정신재활시설 한마음의집이 오는 9월 1일부터 6일까지 서울 종로구 대학로 장애인문화예술센터 이음갤러리에서 미술치료 프로그램 전시회 '딜루젼의 미술'을 연다. 이번 전시는 사회복지공동모금회 지원으로 운영한 미술치료 프로그램 참여자들이 완성한 작품과 창작 경험을 지역사회와 나누기 위해 마련됐다....,여성신문,https://n.news.naver.com/mnews/article/310/0000138632?sid=102,2026-07-27 16:51:16
복지지원사업,장애인 복지 서울,"서울 양천구, 맞춤 복지 강화…중증장애인 1000여명 전수 조사","서울 양천구는 오는 10월까지 11개 유형 중증장애인 1095명을 대상으로 생활실태와 복지욕구를 파악하는 ‘장애인 전수조사’를 실시한다고 17일 밝혔다. 구는 장애인복지법에 따라 2019년부터 3년 주기로 15개 장애유형을 전수 조사한다. 2024년엔 발달, 지난해에는 지체·뇌병변 을 대상으로...",국민일보,https://n.news.naver.com/mnews/article/005/0001861624?sid=102,2026-07-27 16:51:21
복지지원사업,장애인 복지 서울,"강동구 ""8월까지 발달장애인 생활안심보험 신청하세요""","강동구 거주 발달장애인 대상 배상책임·상해보험 가입 지원 서울 강동구(구청장 이수희)는 오는 8월 31일까지 발달장애인의 일상생활 중 사고에 대비할... 자세한 사항은 강동구청 누리집이나 장애인복지과를 통해 확인할 수 있다. 이수희 강동구청장은 ""발달 생활안심보험에 700명 이상이 신청하는 등...",더팩트,https://n.news.naver.com/mnews/article/629/0000517692?sid=102,2026-07-27 16:51:21
복지지원사업,장애인 복지 서울,"김경우 서울시의원, 제12대 서울시의회 전반기 보건복지위원회 위원장 ...","서울시의회는 지난 21일 개최된 제338회 임시회에서 서울시 여성, 가족, 장애인, 노인 등과 관련된 복지 및 보건의료 정책과 예산을 다루는 보건복지위원회 위원장으로 김경우 의원(더불어민주당, 동작구 제2선거구)을 선출했다. 제10대에 이어 제12대 시의회 의원으로 재선된 김경우 보건위원장은 약사...",서울신문,https://n.news.naver.com/mnews/article/081/0003663326?sid=102,2026-07-27 16:51:21
복지지원사업,장애인 복지 서울,"서울시복지재단, 예비 사회복지사 실무역량 키운 '부트캠프' 마무리","이어 종합사회복지관과 장애인복지관 실무자들이 참여해 현장 이슈를 공유하고, 참가자들은 이를 바탕으로 프로젝트 기획안을 마련한 뒤 멘토링을 통해 내용을 구체화했다. 참가자들은 기관별 프로젝트 결과를 발표하고 실무자들과 해결 방안을 공유하며 교육을 마무리했다. 임지영 교육센터장은...",뉴스1,https://n.news.naver.com/mnews/article/421/0009069361?sid=102,2026-07-27 16:51:22
복지지원사업,장애인 복지 서울,"이찬진 ""금융, 일상 디딤돌 돼야""…고령자·장애인 불편 청취",고령자와 장애인 등 금융 취약계층을 만나 현장 애로사항을 청취했다. 이 원장은 이날 오전 서울 여의도 본원에서 고령자·장애인·소비자단체 등 30여명이... 조석영 한국장애인복지관협회장은 장애 유형별 특성을 고려한 맞춤형 금융서비스와 교육 확대가 필요하다고 건의했다. 구체적으로는 청각을 위한...,연합뉴스,https://n.news.naver.com/mnews/article/001/0016197873?sid=101,2026-07-27 16:51:28
복지지원사업,장애인 복지 서울,하나 되고 달란트 나누고… 장애인 성도들의 여름수련회,서울 강남구 소망교회(김경진 목사) 소망부 성도들이 여름수련회를 기다리는 이유 중 하나는 물놀이다. 지난 18일 경기도 광주 소망수양관 앞마당에는... 심진산 독일 선교사는 “독일은 장애인 복지와 전문 돌봄 체계가 잘 갖춰져 있지만 한국교회 공동체에서 볼 수 있는 것처럼 가족같이 함께 지내며 정서적...,국민일보,https://n.news.naver.com/mnews/article/005/0001862501?sid=103,2026-07-27 16:51:29
복지지원사업,장애인 복지 서울,복지카드 없이 '서울온'으로 공공시설 할인…모바일 자격확인 시작,"서울시는 21일 '서울온' 앱을 통한 '복지분야 모바일 자격확인 서비스'를 시작했다고 밝혔다. 서비스 대상은 장애인과 국가유공자, 한부모가족, 기초생활수급자, 차상위계층, 65세 이상 어르신 등 6개 복지대상이다. 서울시는 시민 약 3명 중 1명이 해당 서비스를 이용할 수 있을 것으로 보고 있다. 이용자는...",뉴스1,https://n.news.naver.com/mnews/article/421/0009071570?sid=102,2026-07-27 16:51:29
복지지원사업,장애인 복지 서울,저소득 직역연금 수급자·배우자에 장애인연금 지급 검토,보건복지부 관계자는 22일 서울신문과의 통화에서 “장애인연금은 제도 전반이 기초연금과 비슷하게 설계됐다”며 “기초연금이 직역연금 관련 기준을 바꾸면 장애인연금도 같이 따라가는 것으로 검토되고 있다”고 밝혔다. 앞서 부는 지난 16일 대통령 업무보고에서 저소득 직역연금 수급자와...,서울신문,https://n.news.naver.com/mnews/article/081/0003663441?sid=102,2026-07-27 16:51:37
복지지원사업,장애인 복지 서울,복지카드 없이 앱으로…'서울온' 켜고 감면 받으세요,"서울시가 오늘부터 행정서비스 플랫폼 '서울온' 앱을 통해 복지 분야 모바일 자격 확인 서비스를 시작합니다. 서비스 대상은 장애인, 국가유공자, 한부모가족, 기초생활수급자, 차상위계층, 65세 이상 고령층 등인데요. 서울대공원과 식물원 등 주요 공공시설 14곳에서 이용할 수 있습니다. 별도로 카드나...",SBS,https://n.news.naver.com/mnews/article/055/0001374003?sid=102,2026-07-27 16:51:37
